PL_NAME,SPEC_TYPE,AUTHORS,NUM_DATAPOINTS,INSTRUMENT,FACILITY,MINWAVELNG,MAXWAVELNG,MINTRANMID,MAXTRANMID,NOTE,rowid,pl_name,hostname,pl_letter,hd_name,hip_name,tic_id,gaia_dr2_id,gaia_dr3_id,default_flag,sy_snum,sy_pnum,sy_mnum,cb_flag,discoverymethod,disc_year,disc_refname,disc_pubdate,disc_locale,disc_facility,disc_telescope,disc_instrument,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_massj,pl_msinie,pl_msinij,pl_cmasse,pl_cmassj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_dens,pl_orbeccen,pl_insol,pl_eqt,pl_orbincl,pl_tranmid,pl_tsystemref,ttv_flag,pl_imppar,pl_trandep,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,pl_orbtper,pl_orblper,pl_rvamp,pl_projobliq,pl_trueobliq,st_refname,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_lum,st_logg,st_age,st_dens,st_vsin,st_rotp,st_radv,sy_refname,rastr,ra,decstr,dec,glat,glon,elat,elon,sy_pm,sy_pmra,sy_pmdec,sy_dist,sy_plx,sy_bmag,sy_vmag,sy_jmag,sy_hmag,sy_kmag,sy_umag,sy_gmag,sy_rmag,sy_imag,sy_zmag,sy_w1mag,sy_w2mag,sy_w3mag,sy_w4mag,sy_gaiamag,sy_icmag,sy_tmag,sy_kepmag,rowupdate,pl_pubdate,releasedate,pl_nnotes,st_nphot,st_nrvc,st_nspec,pl_nespec,pl_ntranspec,pl_ndispec,esi,habitability_category,planet_type,inferred_atmosphere
2MASS J01033563-5515561 AB b,Direct Imaging,M&acirc;lin et al. 2025,10920,Mid-Infrared Instrument (MIRI) - MRS,NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,4.9004,24.485,,,Figure 2; Circumplanetary disk features present,38.0,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,b,,,TIC 206502540,,,1.0,2.0,1.0,0.0,1.0,Imaging,2013.0,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,2013-05,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Published Confirmed,0.0,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,,84.0,,,4131.79,13.0,,,,,4131.79,13.0,Mass,,,,,,,,0.0,,,,,,,,,,,,<a refstr=DELORME_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013A&A...553L...5D/abstract target=ref>Delorme et al. 2013</a>,M5.5/M6,,,0.19,,,,,0.03,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,01h03m35.82s,15.8992489,-55d15m56.98s,-55.2658291,-61.77586,299.26888,-54.69414,341.46425,,,,,,16.993,15.788,10.162,9.58,9.237001,,,,,,9.047,8.804,8.558,7.817,,,12.089,,2020-09-08,2013-05,2020-09-03,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,Non-Habitable,Unknown,Unknown (insufficient data)
2MASS J12073346-3932539 b,Direct Imaging,Luhman et al. 2023,17434,Near Infrared Spectrograph (NIRSpec),NASA 6.5m James Webb Space Telescope (JWST) Satellite Mission,0.9701,5.269,2459982.5,2459982.5,,49.0,2MASS J12073346-3932539 b,2MASS J12073346-3932539,b,,,TIC 102076870,Gaia DR2 3459372646830687104,Gaia DR3 3459372646830687104,1.0,1.0,1.0,0.0,0.0,Imaging,2004.0,<a refstr=CHAUVIN_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004A&A...425L..29C/abstract target=ref> Chauvin et al. 2004 </a>,2004-10,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Published Confirmed,0.0,<a refstr=ZHANG_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...64Z/abstract target=ref>Zhang et al. 2025</a>,,,15.69257298,1.4,1652.7077164,5.2,,,,,1652.7077164,5.2,Mass,,,,1163.0,,,,0.0,,,,,,,,,,,,<a refstr=ZHANG_ET_AL_2025 href=https://ui.adsabs.harvard.edu/abs/2025AJ....170...64Z/abstract target=ref>Zhang et al. 2025</a>,M8,,,,,,,,0.01,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,22.54309,293.79011,-35.03506,199.73955,68.3315134,-64.0825,-23.7198,64.308,15.5242,,,12.995,12.388,11.945,,,,,,11.574,11.017,9.469,8.121,17.4076,,15.662,,2026-03-19,2025-08,2026-03-19,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5775246989872009,Marginally Habitable,Gas Giant,Inferred: H/He-dominated primordial envelope
51 Eri b,Direct Imaging,Macintosh et al. 2015,74,Gemini Planet Imager (GPI),Association of Universities for Research in Astronomy (AURA) 8.1m Gemini South Telescope at Cerro Pachon,1.1141,1.7974,2457006.5,2457037.5,,71.0,51 Eri b,51 Eri,b,HD 29391,HIP 21547,TIC 298810162,Gaia DR2 3205095125321700480,Gaia DR3 3205095125321700480,1.0,3.0,1.0,0.0,0.0,Imaging,2015.0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,2015-00,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Published Confirmed,0.0,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,9100.0,10.4,,,3464.3296363,10.9,,,,,3464.3296363,10.9,Mass,,0.57,,,141.0,,JD,0.0,,,,,,,2461699.0,82.0,,,,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,,,,1.75,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,77.7287954,44.3523,-63.8329,29.7575,33.577,5.486,5.21149,4.744,4.77,4.537,,,,,,4.543,4.31,4.575,4.39,5.15806,,4.9574,,2025-09-25,2022-01,2025-09-25,6.0,1.0,0.0,0.0,0.0,0.0,6.0,,Non-Habitable,Unknown,Unknown (insufficient data)
51 Eri b,Direct Imaging,Samland et al. 2017,29,SPHERE - IFS,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,0.9814,1.3292,2457290.5,2457290.5,YJ. Spectrum from multiple epochs.,71.0,51 Eri b,51 Eri,b,HD 29391,HIP 21547,TIC 298810162,Gaia DR2 3205095125321700480,Gaia DR3 3205095125321700480,1.0,3.0,1.0,0.0,0.0,Imaging,2015.0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,2015-00,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Published Confirmed,0.0,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,9100.0,10.4,,,3464.3296363,10.9,,,,,3464.3296363,10.9,Mass,,0.57,,,141.0,,JD,0.0,,,,,,,2461699.0,82.0,,,,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,,,,1.75,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,77.7287954,44.3523,-63.8329,29.7575,33.577,5.486,5.21149,4.744,4.77,4.537,,,,,,4.543,4.31,4.575,4.39,5.15806,,4.9574,,2025-09-25,2022-01,2025-09-25,6.0,1.0,0.0,0.0,0.0,0.0,6.0,,Non-Habitable,Unknown,Unknown (insufficient data)
51 Eri b,Direct Imaging,Samland et al. 2017,33,SPHERE - IFS,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,1.0093,1.6407,2457290.5,2457290.5,YH. Spectrum from multiple epochs.,71.0,51 Eri b,51 Eri,b,HD 29391,HIP 21547,TIC 298810162,Gaia DR2 3205095125321700480,Gaia DR3 3205095125321700480,1.0,3.0,1.0,0.0,0.0,Imaging,2015.0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,2015-00,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Published Confirmed,0.0,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,9100.0,10.4,,,3464.3296363,10.9,,,,,3464.3296363,10.9,Mass,,0.57,,,141.0,,JD,0.0,,,,,,,2461699.0,82.0,,,,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,,,,1.75,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,77.7287954,44.3523,-63.8329,29.7575,33.577,5.486,5.21149,4.744,4.77,4.537,,,,,,4.543,4.31,4.575,4.39,5.15806,,4.9574,,2025-09-25,2022-01,2025-09-25,6.0,1.0,0.0,0.0,0.0,0.0,6.0,,Non-Habitable,Unknown,Unknown (insufficient data)
51 Eri b,Direct Imaging,Samland et al. 2017,5,SPHERE - IRDIS,European Southern Observatory (ESO) 8.2m Very Large Telescope (VLT) Melipal (UT3) at Paranal Observatory,1.589,2.255,2457290.5,2457290.5,"Table 2, ADI. Spectrum from multiple epochs.",71.0,51 Eri b,51 Eri,b,HD 29391,HIP 21547,TIC 298810162,Gaia DR2 3205095125321700480,Gaia DR3 3205095125321700480,1.0,3.0,1.0,0.0,0.0,Imaging,2015.0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,2015-00,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Published Confirmed,0.0,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,9100.0,10.4,,,3464.3296363,10.9,,,,,3464.3296363,10.9,Mass,,0.57,,,141.0,,JD,0.0,,,,,,,2461699.0,82.0,,,,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,,,,1.75,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,77.7287954,44.3523,-63.8329,29.7575,33.577,5.486,5.21149,4.744,4.77,4.537,,,,,,4.543,4.31,4.575,4.39,5.15806,,4.9574,,2025-09-25,2022-01,2025-09-25,6.0,1.0,0.0,0.0,0.0,0.0,6.0,,Non-Habitable,Unknown,Unknown (insufficient data)
51 Eri b,Direct Imaging,Rajan et al. 2017,74,Gemini Planet Imager (GPI),Association of Universities for Research in Astronomy (AURA) 8.1m Gemini South Telescope at Cerro Pachon,1.8861,2.3964,2457332.5,2457332.5,Spectrum from multiple epochs.,71.0,51 Eri b,51 Eri,b,HD 29391,HIP 21547,TIC 298810162,Gaia DR2 3205095125321700480,Gaia DR3 3205095125321700480,1.0,3.0,1.0,0.0,0.0,Imaging,2015.0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,2015-00,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Published Confirmed,0.0,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,9100.0,10.4,,,3464.3296363,10.9,,,,,3464.3296363,10.9,Mass,,0.57,,,141.0,,JD,0.0,,,,,,,2461699.0,82.0,,,,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,,,,1.75,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,77.7287954,44.3523,-63.8329,29.7575,33.577,5.486,5.21149,4.744,4.77,4.537,,,,,,4.543,4.31,4.575,4.39,5.15806,,4.9574,,2025-09-25,2022-01,2025-09-25,6.0,1.0,0.0,0.0,0.0,0.0,6.0,,Non-Habitable,Unknown,Unknown (insufficient data)
51 Eri b,Direct Imaging,Rajan et al. 2017,2,NIRC2 Camera,W. M. Keck Observatory,3.776,4.67,2457322.5,2457389.5,Spectrum from multiple epochs.,71.0,51 Eri b,51 Eri,b,HD 29391,HIP 21547,TIC 298810162,Gaia DR2 3205095125321700480,Gaia DR3 3205095125321700480,1.0,3.0,1.0,0.0,0.0,Imaging,2015.0,<a refstr=MACINTOSH_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,2015-00,Ground,Gemini Observatory,8.19 m Gemini South Telescope,Gemini Planet Imager,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,Published Confirmed,0.0,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,9100.0,10.4,,,3464.3296363,10.9,,,,,3464.3296363,10.9,Mass,,0.57,,,141.0,,JD,0.0,,,,,,,2461699.0,82.0,,,,<a refstr=DUPUY_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022MNRAS.509.4411D/abstract target=ref>Dupuy et al. 2022</a>,,,,1.75,,,,,,,,,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,-30.65764,198.61297,-24.30532,67.30974,77.7287954,44.3523,-63.8329,29.7575,33.577,5.486,5.21149,4.744,4.77,4.537,,,,,,4.543,4.31,4.575,4.39,5.15806,,4.9574,,2025-09-25,2022-01,2025-09-25,6.0,1.0,0.0,0.0,0.0,0.0,6.0,,Non-Habitable,Unknown,Unknown (insufficient data)
55 Cnc e,Eclipse,Demory et al. 2016,2,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,Table 2,129.0,55 Cnc e,55 Cnc,e,HD 75732,HIP 43587,TIC 332064670,Gaia DR2 704967037090946688,Gaia DR3 704967037090946688,1.0,2.0,7.0,0.0,0.0,Radial Velocity,2004.0,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,2004-10,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,0.01544,1.875,0.1672763,7.99,0.02513923,,,,,7.99,0.02513923,Mass,6.66,0.05,,,83.59,2457063.2096,BJD-TDB,0.0,0.39,,,3.52,0.0182,,,86.0,6.02,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,0.943,0.905,0.35,[Fe/H],,4.43,,,1.23,38.8,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,539.1329986,-485.872,-233.651,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973,,5.2058,,2021-02-05,2018-10,2021-02-11,6.0,1.0,9.0,11.0,19.0,4.0,0.0,0.9446881070428648,Earth-like (High Habitability Potential),Super-Earth,Inferred: thin secondary atmosphere (temperature unknown)
55 Cnc e,Eclipse,Demory et al. 2012,1,Infrared Array Camera (IRAC),Spitzer Space Telescope satellite,4.5,4.5,,,,129.0,55 Cnc e,55 Cnc,e,HD 75732,HIP 43587,TIC 332064670,Gaia DR2 704967037090946688,Gaia DR3 704967037090946688,1.0,2.0,7.0,0.0,0.0,Radial Velocity,2004.0,<a refstr=MCARTHUR_ET_AL__2004 href=https://ui.adsabs.harvard.edu/abs/2004ApJ...614L..81M/abstract target=ref> McArthur et al. 2004 </a>,2004-10,Ground,McDonald Observatory,9.2 m Hobby-Eberly Telescope,High Resolution Spectrograph,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Published Confirmed,0.0,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,0.7365474,0.01544,1.875,0.1672763,7.99,0.02513923,,,,,7.99,0.02513923,Mass,6.66,0.05,,,83.59,2457063.2096,BJD-TDB,0.0,0.39,,,3.52,0.0182,,,86.0,6.02,,,<a refstr=BOURRIER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018A&A...619A...1B/abstract target=ref>Bourrier et al. 2018</a>,,5172.0,0.943,0.905,0.35,[Fe/H],,4.43,,,1.23,38.8,,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,37.69663,196.79526,10.36555,127.72682,539.1329986,-485.872,-233.651,12.5855,79.4274,6.816,5.95084,4.768,4.265,4.015,,,,,,,,,,5.72973,,5.2058,,2021-02-05,2018-10,2021-02-11,6.0,1.0,9.0,11.0,19.0,4.0,0.0,0.9446881070428648,Earth-like (High Habitability Potential),Super-Earth,Inferred: thin secondary atmosphere (temperature unknown)
